Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-05-03 17:15,79.82,,13.75,0,1061.3,0,82.33,163.86,253.56,0,29.5,0.02,0,0,0,124.35,0,0,0
2018-05-03 17:20,79.82,,13.75,0,1062.66,0,81.78,162.91,245.64,0,29.6,0.02,0,0,0,139.62,0,0,0
2018-05-03 17:25,79.82,,13.75,0,1065.57,0,81.48,165.19,236.46,0,12.8,0.02,0,0,0,183.13,0,0,0
2018-05-03 17:30,95.58,14.2,3.02,0,1076.43,0,81.76,163.01,211.47,0,4.8,0.02,0,0,0,112.96,0,0,0
2018-05-03 17:35,95.58,,3.02,0,1062.14,0,81.5,163.14,211.24,0,27.6,0.02,0,0,0,176.69,0,0,0
2018-05-03 17:40,95.58,,3.02,0,1057.03,0,81.22,163.86,248.28,0,30.6,0.02,0,0,0,177,0,0,0
2018-05-03 17:45,95.58,,3.02,0,1051.24,0,81.49,162.59,231.35,0,0.9,0.02,0,0,0,196.46,0,0,0
2018-05-03 17:50,95.58,,3.02,0,1043.52,0,81.76,161.76,207.5,0,20.3,0.02,0,0,0,179.53,0,0,0
2018-05-03 17:55,95.58,,3.02,0,1032.27,0,81.78,163.91,219.68,0,21.5,0.02,0,0,0,173.71,0,0,0
2018-05-03 18:00,84.31,14.7,0,0,1039.54,0,82.03,164.14,187.39,0,16.1,0.02,0,0,0,204.21,0,0,0
2018-05-03 18:05,84.31,,0,0,1046.5,0,82.04,179.86,194.56,0,3.7,0.02,0,0,0,199.57,0,0,0
2018-05-03 18:10,84.31,,0,0,1025.65,0,82.31,181.3,197.15,0,22.9,0.02,0,0,0,224.95,0,0,0
2018-05-03 18:15,84.31,,0,0,1033.59,0,82.04,182.21,199.23,0,14.6,0.02,0,0,0,242.67,0,0,0
2018-05-03 18:20,84.31,,0,0,1073.5,0,82.31,182.28,186.31,0,1.6,0.02,0,0,0,247.18,0,0,0
2018-05-03 18:25,84.31,,0,0,1109.88,0,82.03,182.18,185.18,0,1.2,0.02,0,0,0,184.06,0,0,0
2018-05-03 18:30,69.83,14.8,0,0,1101.66,0,82.03,181.93,182.99,0,1.7,0.02,0,0,0,173.15,0,0,0
2018-05-03 18:35,69.83,,0,0,1104.45,0,82.11,181,191.31,0,16.5,0.02,0,0,0,193.01,0,0,0
2018-05-03 18:40,69.83,,0,0,1104.28,0,82.04,181.1,178.08,0,0,0.02,0,0,0,126.76,0,0,0
2018-05-03 18:45,69.83,,0,0,1093.17,0,82.03,181.66,183.39,0,0,0.02,0,0,0,196.8,0,0,0
2018-05-03 18:50,69.83,,0,0,1105.84,0,82.02,181.38,175.43,0,0.6,0.02,0,0,0,186.49,0,0,0
2018-05-03 18:55,69.83,,0,0,1137.52,0,82.02,181.93,176.79,0,0,0.02,0,0,0,164.22,0,0,0
2018-05-03 19:00,69.53,15.3,0,0,1151.31,0,82.25,181.41,185.7,0,0.1,0.02,0,0,0,116.98,0,0,0
2018-05-03 19:05,69.53,,0,0,1158.84,0,82.32,181.95,178.47,0,0,0.02,0,0,0,84.41,0,0,0
2018-05-03 19:10,69.53,,0,0,1119.54,0,82.54,180.81,190.89,0,22.4,0.02,0,0,0,156.06,0,0,0
2018-05-03 19:15,69.53,,0,0,1068,0,82.44,181.18,198.58,0,19.9,0.02,0,0,0,182.97,0,0,0
2018-05-03 19:20,69.53,,0,0,1022.1,0,82.3,181.08,209.03,0,28,0.02,0,0,0,251.13,0,0,0
2018-05-03 19:25,69.53,,0,0,1004.82,0,82.31,181.8,180.7,0,0,0.02,0,0,0,269.76,0,0,0
2018-05-03 19:30,66.87,14.6,0,0,1007.69,0,82.3,181.83,183.98,0,0,0.02,0,0,0,259.41,0,0,0
2018-05-03 19:35,66.87,,0,0,1002.01,0,82.31,181.1,197.67,0,29.1,0.02,0,0,0,268.99,0,0,0
2018-05-03 19:40,66.87,,0,0,1020.67,0,82.71,181.4,182.04,0,0,0.02,0,0,0,256.84,0,0,0
2018-05-03 19:45,66.87,,0,0,1064.59,0,82.56,182.08,177.5,0,0,0.02,0,0,0,159.68,0,0,0
2018-05-03 19:50,66.87,,0,0,1087.54,0,82,182.1,203.53,0,28.7,0.02,0,0,0,180.04,0,0,0
